"Any film about WWII made during WWII by a British production company has no latter-day peer in my opinion, respectfully. The confluence of so many things near and dear to my heart are in At Dawn We Dive: as a descendant of Admiral Horatio Nelson and student of all aspects of World War Two and particularly naval warfare, I favor depictions of subs and action in the North Atlantic and especially those which include the German side of things. For those unacquainted with target priorities, an attack on an enemy warship is the greatest event that a submarine can hope to encounter and such a rare opportunity would develop surprisingly similarly to what we see here. The pacing is deliberate and typical of the works coming out of the Ealing, Rank and British-Gaumont studios back in the day: frankly I prefer its quieter, more cerebral approach for its humanity and realism that engages far better than any over-produced Hollywood movie ever could. This reminds me of Powell and Pressburger's The 49th Parallel thanks to the powerfully persuasive Eric Portman, a favorite of mine. John Mills receives second billing and a smaller font in the titles, so this is clearly meant to be Mr. Portman's film but the whole cast shines. As for the title sequence, am I the only one who is utterly charmed by Gainsborough Production's lovely pre-CGI Gainsborough Girl?",positive
"A brilliant horror film. Utterly gruesome and very scary too. The Thing is a remake from John Carpenter, but please, do not let that put you off this film. It is simply brilliant. The start of the film has the alien's spacecraft hurtling towards the Earth centuries before mankind walked the planet with an explosion that unleashes the film's title in amazing shining white and blue stating 'THE THING'. One of the best opening credits for a horror film ever.<br /><br />The cast of actors who play the twelve man science team are a joy to behold and the locations for the setting of their Station in Antartica is visually impressive on DVD widescreen. It must have been great in the cinema. I regret not seeing this on the big screen.<br /><br />Kurt Russell is excellent as Macready, the helicopter pilot who reluctantly becomes the leader of the men trying to combat a lethal shape changing monstrosity that has infiltrated their base. All the actors in this are really good and create terrific scenes of paranoia and tension as to who the thing has infected. My favourite scene in the whole film has to be when Macready tests everyone thats still alive for infection, it is tense, scary and finally spectacular. I love it because its funny as well.<br /><br />Special mention must go to Rob Bottin for his truly amazing make up effects and shape changing designs of the alien itself. If he didn't get an Oscar for best visual effects at the time then he damn well should have. This is also debatable as to whether this is John Carpenter's greatest film...its certainly a gruesome masterpiece.<br /><br />Wait for a cold winter night. Get some Budweiser from the fridge. Sit down and watch The Thing, a horror masterpiece of flame throwing heroes fighting shape changing towers of gore and slime.<br /><br />Utterly brilliant.<br /><br />Ten Out Of Ten.",positive
"I absolutely love this film. Everything about it. It almost felt like watching me and my friends on screen. The way this movie was filmed was a pure masterpiece, very original and creative. I related to these characters and even had the same thoughts as some. I'm really glad I ran across this movie. If only there were more genius' like justin out there!",positive
"No one can say I wasn't warned as I have read the reviews (both user & external), but like most of us attracted to horror movies... curiosity got this cat. (Come on, we all scream at the people in the movie not to go into the dark room, but you know that's horror aficionados are always dying to know what's in there even if we know it'll be bad).<br /><br />The bottom line is that this movie left me angry. Not because it pretends to be real (who cares...gimmicks are allowed), or because the actors and dialogue are so lame (is this an unusual event in horror movies?) or even because the movie is so bad (and I am being polite here). What really got me mad is that the film is not only a rip off of BWP, but also a half-hearted lazy rip off at that.<br /><br />I don't believe in sacred cows and if they thought they could outdo BWP then kudos to them, but they didn't even try. The movie was made with little effort or care and that is the most unforgivable sin in horror (or any) movie!",negative
"A new way to enjoy Goldsworthy's work, Rivers and Tides allows fans to see his work in motion. Watching Goldsworthy build his pieces, one develops an appreciation for every stone, leaf, and thorn that he uses. Goldsworthy describes how the flow of life, the rivers, and the tides inspires and affects his work. Although, I was happy the film covered the majority of Goldsworthy's pieces (no snowballs), I do feel it was a bit long. The film makers did a wonderful job of bringing Goldsworthy's work to life, and created a beautiful film that was a joy to watch.",positive
"If you liked William Hickey in ""Prizzi's Honor"", he resurrects his character, as Don Anthony in ""Mob Boss"". This is a very weak ""Godfather"" satire with few laughs. Stuart Whitman looks perplexed as to what he's doing in this schlock-fest? Morgan Fairchild's performance is one of the better efforts in the movie, and that alone is not a good sign for sure. Eddie Deezen vacillates between ""Three Stooges"" slapstick and a bad Woody Allen imitation. Fatally flawed, ""Mob Boss"" is so derivative that boredom quickly overcomes comedy and the film drags on with car chases, hidden weapons in a restaurant bathroom, and numerous other nonsense. - MERK",negative
"I have seen most, if not all of the Laurel & Hardy classic films. I have always enjoyed there comical stupidly, even after watching it over and over again. This new film attempts to bring back the classic with two new actors who resemble both Laurel & Hardy, however fails miserably for various reasons. One of which is how out of place their cloths are (still early 20th century) however are both portrayed in the 90's setting. Some of the former dialogue was brought back, however it also fails miserably to come close to the classic series. This film could very well be the worst film I have ever seen and should be pulled off the shelf and locked away forever. The real Laurel & Hardy are surly spinning in their graves at such a bad imitation.",negative
"I just started watching The Show around July. I found it by mistake, I was channel surfing during a Vacation. It is a great show, I just wish it wasn't on so late at night. It's on at 12:30 AM. As a working person it makes it hard to watch all the time.<br /><br />I read some comments. I did not agree with the late one about not growing up in the 60's and not believing that this stuff can happen.<br /><br />I grew up in the 60's. I'm Hispanic and I had a ""White"" boyfriend plus we had black friends in High School. I believe people get along because of their interests and personalities and it has nothing to do with being a certain race or color.<br /><br />I can't wait till the show goes on DVD so I can buy it. This way I can see it from the beginning.",positive
"This film is well cast, often silly and always funny. Lemmon and Matthau work their tag team magic to perfection. Brent Spiner is just a riot as the egotistical tyrant of a cruise director. From the first ""hare krishna"" to the last ""you ought pay him fifty bucks for calling you two studs"", I thought this was a totally entertaining fun comedy",positive
"I have just given a 10 for Thieves Highway, I mention this for two reasons one to prove I'm not a git who only gives bad reviews but 2 because the theme of the film has the same thread namely the falling in love with a woman of the night.<br /><br />We all know pretty Woman is a chick flick but you can't avoid them all, they'll eventually get you. Pretty Woman for me does two things, two terrible horrible ghastly things, firstly it portrays prostitution as a career more akin to that of a dancer, you know with absolutely great friends, leg warmers lots of giggling, borrowing each others make up. You see in the reality of Pretty Woman the prostitute and this is a street walker Prostitute we're talking about here, has a great life, she's healthy happy with only the occasional whimper to explain her predicament. My feeling is this 'happy Hooker' type protagonist is a lot more palatable than an even nearly realistic character, which for me begs the question if you make a movie about a type of person but are too chicken scared to adorn that player with the characteristics familiar to that role then why do it? If I make a film about a chef but don't want him to cook or talk about food or wear a white hat then why make a film about a chef in the first place? By bailing out and turning the hooker into a respectable dancer type the story misses the point completely and consequently never indulges in any of the moral or social questions that it could have, what a cop out, really really lame. <br /><br />Secondly, 'Pretty Woman' insults romance itself, Edward Lewis played by Richard Gere has no clue how to seduce or romance this 'lady' that is without his plastic friend, yep don't leave home without it, especially if you are a moron in a suit who has no imagination. 8 out of 10 of his romantic moments involve splashing cash in one way or another, even when he first meets her it's the Lotus Esprit turbo that does all the work, necklaces here diamonds there limos over there, money money money, where's the charm? where's the charisma, don't mention that attempt at the piano please.<br /><br />Girls who like this film will also be girls who like shopping more than most. Guys who like this film will not even have realized that old Eddy has less charm than a calculator, as they probably don't either so it wont have registered. More importantly anyone who likes this film will hate 'Thieves Highway' a wonderful story of which part is based on the same subject.<br /><br />I'll finish on a song:<br /><br />Pretty woman hangin round the street Pretty woman, the kind I like to treat Pretty woman, I don't believe you You're not the truth No one could spend as much as you Mercy<br /><br />Pretty woman, wont you pardon me Pretty woman, I couldn't help but see Pretty woman, and you look lovely as can be do you lack imagination just like me<br /><br />Pretty woman, shop a while Pretty woman, talk a while Pretty woman, sell your smile to me Pretty woman, yeah, yeah, yeah Pretty woman, look my way Pretty woman, say you'll stay with me..and I'll pay you..I'll treat you right",negative
