,threshold,guess_true,guess_false,label_true,label_false,tp,tn,fp,fn,accuracy,precision,recall,specificity,harmonic_mean
0,1.0,0,30,15,15,0,15,0,15,0.5,0.0,0.0,1.0,0.0
1,0.95,12,18,15,15,8,11,4,7,0.6333333333333333,0.6666666666666666,0.5333333333333333,0.7333333333333333,0.5925925925925926
2,0.9,15,15,15,15,10,10,5,5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
3,0.85,16,14,15,15,11,10,5,4,0.7,0.6875,0.7333333333333333,0.6666666666666666,0.7096774193548386
4,0.8,16,14,15,15,11,10,5,4,0.7,0.6875,0.7333333333333333,0.6666666666666666,0.7096774193548386
5,0.75,16,14,15,15,11,10,5,4,0.7,0.6875,0.7333333333333333,0.6666666666666666,0.7096774193548386
6,0.7,16,14,15,15,11,10,5,4,0.7,0.6875,0.7333333333333333,0.6666666666666666,0.7096774193548386
7,0.65,17,13,15,15,11,9,6,4,0.6666666666666666,0.6470588235294118,0.7333333333333333,0.6,0.6875
8,0.6,19,11,15,15,12,8,7,3,0.6666666666666666,0.631578947368421,0.8,0.5333333333333333,0.7058823529411765
9,0.55,19,11,15,15,12,8,7,3,0.6666666666666666,0.631578947368421,0.8,0.5333333333333333,0.7058823529411765
10,0.5,19,11,15,15,12,8,7,3,0.6666666666666666,0.631578947368421,0.8,0.5333333333333333,0.7058823529411765
11,0.45,19,11,15,15,12,8,7,3,0.6666666666666666,0.631578947368421,0.8,0.5333333333333333,0.7058823529411765
12,0.4,19,11,15,15,12,8,7,3,0.6666666666666666,0.631578947368421,0.8,0.5333333333333333,0.7058823529411765
13,0.35,20,10,15,15,12,7,8,3,0.6333333333333333,0.6,0.8,0.4666666666666667,0.6857142857142857
14,0.3,21,9,15,15,13,7,8,2,0.6666666666666666,0.6190476190476191,0.8666666666666667,0.4666666666666667,0.7222222222222222
15,0.25,22,8,15,15,13,6,9,2,0.6333333333333333,0.5909090909090909,0.8666666666666667,0.4,0.7027027027027029
16,0.2,22,8,15,15,13,6,9,2,0.6333333333333333,0.5909090909090909,0.8666666666666667,0.4,0.7027027027027029
17,0.15,22,8,15,15,13,6,9,2,0.6333333333333333,0.5909090909090909,0.8666666666666667,0.4,0.7027027027027029
18,0.1,23,7,15,15,13,5,10,2,0.6,0.5652173913043478,0.8666666666666667,0.3333333333333333,0.6842105263157895
19,0.05,25,5,15,15,14,4,11,1,0.6,0.56,0.9333333333333333,0.26666666666666666,0.7000000000000001
20,0.0,30,0,15,15,15,0,15,0,0.5,0.5,1.0,0.0,0.6666666666666666
